Order_ID,Customer_Name,Product_Category,Product_Name,Units_Sold,Unit_Price,Discount_%,Sales_Amount,Order_Date,City,Segment,Profit
1000,Brian Thompson,Jeans,Slim Fit Jeans,,842.0,0.6,0.0,2025-02-27,Delhi,B2C,2137.45
1001,Shaun Ross,Jeans,Slim Fit Jeans,1.0,,,0.0,2025-07-15,Ahmedabad,,1588.15
1002,Sarah Snyder,Jackets,Puffer Coat,1.0,637.82,,0.0,02-01-2025,Mumbai,B2B,-158.03
1003,Jay Briggs,Shoes,Loafers,2.0,2962.27,,0.0,18-06-2025,bengaluru,B2B,2296.5
1004,Maria Blake,Accessories,Belts,1.0,2881.07,0.27,2103.18,,hyderbad,,63.66
1005,Samuel Miller,T-Shirts,Crop Top,,,,0.0,2023-12-05,Mumbai,B2B,1477.73
1006,John Mclean,Jeans,Boyfriend Jeans,1.0,2060.85,,0.0,2024-04-02,Ahmedabad,B2B,198.36
1007,Dr. Kathryn Bass PhD,Dresses,Casual Midi,,3669.56,,0.0,,Bangalore,B2C,2490.01
1008,Marie Fisher,Accessories,Sunglasses,,,,0.0,,Ahmedabad,B2C,-886.8
1009,Dale Perry,T-Shirts,Oversized T-shirt,5.0,,,0.0,2025-07-20,Bangalore,B2B,-972.73
1010,Oscar Turner,T-Shirts,Crop Top,0.0,4007.02,,0.0,,Pune,B2B,-950.38
1011,Jacob Sanchez,Accessories,Belts,0.0,,,0.0,27-05-2025,Delhi,B2C,1370.67
1012,Valerie Hampton,Jeans,Straight Cut,4.0,,0.21,0.0,2024/08/22,Ahmedabad,,843.61
1013,James Delgado,T-Shirts,Crop Top,,,0.62,0.0,,Pune,B2C,1279.58
1014,Richard Hood,Shoes,Loafers,4.0,,,0.0,21-09-2024,Hyd,,-889.25
1015,Julie Fox,Shoes,Sneakers,6.0,,,0.0,,Ahmedabad,,793.8
1016,Valerie Garner,T-Shirts,Crop Top,,,,0.0,26-10-2024,Hyderabad,B2B,1881.89
1017,Alejandro Johnson,T-Shirts,Oversized T-shirt,3.0,468.53,,0.0,,Mumbai,B2B,-195.65
1018,Andrew Washington,Dresses,Maxi Dress,4.0,,,0.0,2024-04-13,bengaluru,B2C,2102.56
1019,Mark Allison,Dresses,Casual Midi,,4064.4,0.7,0.0,2024/10/22,Ahmedabad,B2C,877.21
1020,Russell Eaton,Jeans,Boyfriend Jeans,1.0,,,0.0,19-03-2025,Pune,B2B,669.75
1021,Amber Bowman,Dresses,Wrap Dress,,,,0.0,2024-05-05,bengaluru,B2B,-705.72
1031,Lauren Jensen,Dresses,Wrap Dress,,1872.05,0.15,0.0,2025/05/27,Pune,B2C,-863.9
1023,David Arnold,Shoes,Slip-ons,,,,0.0,,Mumbai,,-875.51
1024,Thomas Long,Jackets,Puffer Coat,-2.0,,1.19,0.0,2025/02/19,Delhi,B2B,491.1
1025,Christine Reed,Jeans,Straight Cut,4.0,4595.08,,0.0,2025/07/18,Bangalore,,330.82
1026,Colton Baxter,Accessories,Sunglasses,,,,0.0,2024-12-21,Ahmedabad,B2B,-194.77
1027,Rebecca Dorsey,Accessories,Belts,1.0,,,0.0,,hyderbad,B2B,1085.36
1028,Felicia Orozco,T-Shirts,Classic Tee,-2.0,,,0.0,,hyderbad,B2B,2060.03
1029,Terry Anderson,T-Shirts,Classic Tee,4.0,,,0.0,,Mumbai,,1737.92
1030,Brandi Jones,Dresses,Maxi Dress,3.0,1069.77,,0.0,2023-09-03,Hyd,B2C,1155.38
1031,William Williams,Dresses,Wrap Dress,4.0,,,0.0,2025/01/31,Bangalore,B2B,-960.24
1032,Kim Harris,Jeans,Boyfriend Jeans,,2182.01,,0.0,2025/01/25,Delhi,,1377.61
1033,Jonathan Neal,Jeans,Straight Cut,,,,0.0,13-11-2024,Hyd,B2B,903.69
1034,Nathan Stewart,Jackets,Puffer Coat,0.0,4449.36,0.94,0.0,13-07-2025,Delhi,B2B,-282.68
1035,Joshua Thomas,Jackets,Bomber Jacket,-1.0,,0.94,0.0,,Ahmedabad,B2C,-199.18
1036,Connie Cunningham,T-Shirts,Graphic Tee,-2.0,2721.83,,0.0,2024-04-06,Ahmedabad,B2B,1213.95
1037,Amy Martin,Accessories,Sunglasses,2.0,,1.1,0.0,,Ahmedabad,B2B,907.77
1038,Courtney Riddle,T-Shirts,Crop Top,3.0,1692.38,,0.0,2024-01-20,bengaluru,B2C,1704.49
1039,Ashley Ramirez,Shoes,Boots,,1372.16,0.56,0.0,20-05-2025,Hyd,B2C,1626.51
1040,Angel Nelson,Jackets,Denim Jacket,,,,0.0,15-11-2024,Ahmedabad,B2C,693.6
1041,Teresa Chavez,Jackets,Puffer Coat,,,,0.0,2025/03/07,Ahmedabad,B2C,-983.06
1042,Richard Williams,Dresses,Bodycon,,,,0.0,2025-04-12,Pune,,283.39
1043,Deborah Walker,T-Shirts,Graphic Tee,,4575.93,0.56,0.0,2025/04/05,Ahmedabad,,442.14
1044,Elizabeth Williams,T-Shirts,Classic Tee,,,,0.0,2024/09/12,bengaluru,B2B,-80.23
1045,Connie Mills,Accessories,Sunglasses,,3477.16,,0.0,10-02-2025,Hyd,B2B,1323.75
1046,Charlotte Cook,Jeans,Slim Fit Jeans,-1.0,2441.92,0.92,-195.35,,Delhi,,1004.91
1047,Matthew Thompson,Jeans,Straight Cut,3.0,,,0.0,12-06-2025,Hyd,B2C,-395.76
1048,James Hughes,Jeans,Straight Cut,5.0,,0.41,0.0,16-10-2024,Delhi,,2409.26
1049,Kimberly Anderson,T-Shirts,Graphic Tee,,,,0.0,,Mumbai,B2C,19.87
1050,Matthew Schmidt,Jeans,Slim Fit Jeans,-1.0,1083.16,,0.0,2025/07/08,Pune,B2C,2904.29
1051,Eric Wilson,Jeans,Boyfriend Jeans,,,0.57,0.0,2025-04-26,Delhi,B2C,2857.9
1052,Zachary Ramos,Jeans,Ripped Denim,,3252.49,0.56,0.0,2023-12-08,Bangalore,,-11.15
1053,Debra Pollard,Dresses,Maxi Dress,,714.23,1.29,0.0,2025/07/21,Delhi,,1057.24
1054,Angela Martinez,T-Shirts,Classic Tee,,,,0.0,2025-02-12,Pune,,1002.96
1055,Brett Burch,Jeans,Boyfriend Jeans,0.0,,,0.0,2024-03-02,Pune,B2B,1374.9
1056,Jennifer English,Accessories,Sunglasses,6.0,,,0.0,2025/07/11,Mumbai,B2C,-343.36
1057,Penny Campbell,Jackets,Puffer Coat,4.0,,0.04,0.0,2024-12-23,Pune,,1725.76
1058,Karen Garcia,T-Shirts,Oversized T-shirt,,3982.53,1.08,0.0,14-08-2024,Pune,B2C,1912.49
1059,John Ramos,Jeans,Boyfriend Jeans,0.0,2927.57,0.19,0.0,,Delhi,,2218.42
1060,Dylan Roberson,Jeans,Ripped Denim,,2813.51,,0.0,2025/07/14,Pune,,94.96
1061,Kelsey Reyes,Accessories,Belts,,2291.15,0.33,0.0,2024/11/05,Mumbai,B2B,2536.3
1062,Larry Gibson,Jeans,Ripped Denim,-1.0,,,0.0,,Pune,B2C,328.72
1063,Kristin Ho,T-Shirts,Graphic Tee,1.0,,,0.0,2025/06/28,bengaluru,B2C,2147.75
1064,Jessica Johnston,Jackets,Denim Jacket,,,1.3,0.0,,bengaluru,,-901.74
1065,Amanda Parker,Jeans,Boyfriend Jeans,5.0,,,0.0,2024-05-28,bengaluru,,2316.97
1066,Joshua Figueroa,Shoes,Slip-ons,-2.0,3479.44,,0.0,2025/01/15,Delhi,,-252.78
1067,Julie Howard,Dresses,Casual Midi,,3945.25,,0.0,2025/06/30,bengaluru,B2B,305.55
1068,Brandon Lin,Dresses,Wrap Dress,4.0,2765.26,,0.0,,Ahmedabad,B2C,1719.9
1069,Anna Allen,Accessories,Watches,2.0,2102.02,1.13,-546.53,2024-03-11,Delhi,B2B,-992.61
1070,Kimberly Ho,Jackets,Leather Jacket,5.0,,,0.0,06-04-2025,Hyd,B2B,1383.48
1071,Nancy White,Accessories,Sunglasses,,1000.76,,0.0,,Delhi,B2B,2131.43
1072,Eric Salazar,Dresses,Maxi Dress,,,,0.0,,Bangalore,B2C,2878.09
1073,Michael Williamson,Jeans,Straight Cut,-2.0,,0.18,0.0,,Pune,,368.69
1074,Lynn Morales,Dresses,Casual Midi,-2.0,,1.06,0.0,25-01-2025,Hyderabad,,192.91
1075,Jennifer Horn,T-Shirts,Crop Top,,795.85,,0.0,,Pune,B2B,2418.8
1076,Lori Preston,T-Shirts,Oversized T-shirt,2.0,,,0.0,07-01-2025,Bangalore,,1408.61
1077,Gabriel Parrish,T-Shirts,Oversized T-shirt,2.0,,,0.0,20-09-2024,Hyderabad,B2B,902.52
1078,Debbie Raymond,Jackets,Leather Jacket,,4059.56,,0.0,13-02-2025,Pune,B2C,-819.94
1079,Cheryl Clark,T-Shirts,Classic Tee,,,,0.0,,Hyd,B2B,-22.55
1080,Laura Thompson,T-Shirts,Crop Top,,3872.22,1.15,0.0,,Mumbai,B2C,-302.97
1081,Mary Lin,Jeans,Boyfriend Jeans,6.0,4798.06,0.81,5469.79,,Hyd,B2B,-361.78
1082,Nicholas White,Dresses,Bodycon,0.0,,,0.0,,Bangalore,B2B,712.91
1083,Timothy Farmer,Jackets,Bomber Jacket,1.0,,1.28,0.0,,Pune,B2B,-612.62
1084,Kevin Martinez,Shoes,Loafers,,,0.53,0.0,2024-12-24,Pune,B2B,2458.07
1085,James Martinez,Shoes,Slip-ons,,,0.02,0.0,2023-10-18,Pune,B2B,264.73
1086,Douglas Nelson,Accessories,Sunglasses,,948.33,0.46,0.0,2025/03/16,Bangalore,B2C,-865.22
1087,Thomas Ramirez,Jeans,Ripped Denim,,1976.75,0.81,0.0,2025/07/08,Mumbai,B2C,2790.95
1088,David Faulkner,Accessories,Caps,,3891.14,,0.0,08-05-2025,Pune,B2C,1374.27
1089,Dennis Ross,Shoes,Slip-ons,,1412.17,0.88,0.0,22-02-2025,Mumbai,,-355.26
1090,Heather Arnold,Shoes,Slip-ons,5.0,2477.82,,0.0,09-11-2024,Ahmedabad,B2C,-888.86
1091,David Bridges,Accessories,Belts,1.0,,,0.0,2023-07-28,Delhi,,156.43
1092,Jennifer Keller,Dresses,Bodycon,,,,0.0,,Pune,,1122.66
1093,Amanda Myers,Dresses,Bodycon,-2.0,,,0.0,2024/12/03,bengaluru,B2B,2966.76
1094,Betty Middleton,Jackets,Denim Jacket,-1.0,4741.41,,0.0,,Mumbai,B2C,1901.7
1035,Laura Porter,Accessories,Belts,,,,0.0,2025/01/04,Mumbai,B2C,1539.59
1033,Carla Phillips,Accessories,Belts,,421.92,,0.0,,Hyderabad,,2969.19
1097,Amber Smith,Accessories,Sunglasses,0.0,,,0.0,2025-01-18,Mumbai,,1141.15
1098,Diana Jones,Accessories,Caps,0.0,4752.04,,0.0,08-09-2024,Ahmedabad,B2C,129.37
1099,Valerie Walker,Shoes,Loafers,,,,0.0,2024-02-22,Pune,B2B,300.02
1100,Daniel Brown,Shoes,Boots,2.0,2011.73,,0.0,2024-12-30,Hyd,B2C,2493.5
1101,Stephen Smith,Jeans,Boyfriend Jeans,,,0.22,0.0,04-03-2025,Pune,B2C,2962.73
1102,Kimberly Walter,Jeans,Boyfriend Jeans,5.0,,,0.0,15-04-2025,Hyd,,2776.7
1103,Brandon Webb,Dresses,Bodycon,5.0,1521.46,,0.0,11-06-2025,bengaluru,B2B,1713.47
1104,Andrew Moreno,Dresses,Maxi Dress,3.0,2752.71,,0.0,2024-06-11,Ahmedabad,B2B,1660.01
1105,Willie Smith,Dresses,Maxi Dress,-2.0,,,0.0,,Ahmedabad,B2B,616.04
1106,Evelyn Allison,Jeans,Boyfriend Jeans,3.0,,,0.0,01-04-2025,Pune,B2C,53.28
1107,Elizabeth Hood,Jeans,Straight Cut,,4948.0,,0.0,,Delhi,B2C,1064.86
1036,Nathaniel Thomas,Jeans,Straight Cut,1.0,4601.44,,0.0,2024/12/16,Mumbai,B2C,2145.66
1109,Nicole Evans,Jeans,Ripped Denim,,,,0.0,02-05-2025,hyderbad,B2C,2133.58
1110,Michael Velasquez,Jeans,Slim Fit Jeans,4.0,,,0.0,2025-06-26,Mumbai,B2C,2155.68
1111,Tammy Gonzales,T-Shirts,Classic Tee,,,,0.0,,Ahmedabad,B2C,748.93
1112,Sherry Shepard,Dresses,Casual Midi,,1027.56,,0.0,,Mumbai,,1160.17
1113,Derek Edwards,Jackets,Puffer Coat,,3864.5,,0.0,,Ahmedabad,B2C,-763.23
1114,Robert Williams,Dresses,Bodycon,6.0,568.61,0.2,2729.33,2025/02/18,Delhi,B2C,-689.16
1115,Carolyn Nelson,Accessories,Belts,,,,0.0,18-06-2025,Ahmedabad,,-624.26
1116,Olivia Jones,Jackets,Bomber Jacket,1.0,,,0.0,2025/03/02,Delhi,B2C,1733.04
1117,Molly Johnson,Jackets,Puffer Coat,,3567.55,,0.0,,bengaluru,,-455.6
1118,Jose Jackson,Accessories,Belts,,,,0.0,2025-05-01,Bangalore,B2C,1039.53
1119,Elizabeth Vega,Jeans,Ripped Denim,,,,0.0,14-05-2025,Mumbai,B2C,142.69
1120,Angelica Gonzalez,Jackets,Puffer Coat,,4709.0,,0.0,2025/05/05,Ahmedabad,,828.98
1121,Henry Parker,Shoes,Boots,,4109.6,0.42,0.0,,Pune,B2C,1422.36
1122,Jennifer Lee,Jackets,Bomber Jacket,0.0,4745.03,0.4,0.0,,Mumbai,B2C,2658.02
1123,Michael Clarke,Accessories,Caps,5.0,3978.76,,0.0,2024-04-11,Ahmedabad,,1494.78
1002,Jessica Gibson,Jackets,Puffer Coat,1.0,,,0.0,31-12-2024,Ahmedabad,B2B,2513.75
1125,Jason Turner,Shoes,Boots,-2.0,,,0.0,,Delhi,,-754.58
1126,Grant Munoz,Jeans,Boyfriend Jeans,2.0,,0.59,0.0,,Pune,B2C,1820.2
1127,Rhonda Ray,Dresses,Bodycon,3.0,4843.44,0.07,13513.2,07-08-2024,Ahmedabad,B2B,2881.91
1128,Susan Anderson,T-Shirts,Oversized T-shirt,,,0.43,0.0,,Hyd,,-68.49
1129,Miranda Thomas,Jeans,Boyfriend Jeans,-2.0,2412.36,0.23,-3715.03,27-06-2025,Mumbai,B2C,-668.36
